lat,lon,number
51.3570973,6.1341522,3
51.3587562,5.4312194,1
51.3590897,6.1621679,1
51.3596543,6.0407677,7
51.3596712,5.3702015,2
51.3599364,5.4456498,2
51.3601511,5.4265977,1
51.3603265,6.0459031,1
51.3603284,6.2032389,1
51.3604555,5.4299863,1
51.3605217,5.9448115,1
51.3610668,5.4300012,1
51.3613349,6.1798382,2
51.3613354,5.3878324,4
51.3615078,5.4486526,1
51.3616074,5.4472744,1
51.3617312,6.1235596,3
51.3617496,5.4307198,1
51.3618245,5.4605702,3
51.3618927,5.1675652,2
51.3618938,6.1649293,2
51.3623046,5.4544831,2
51.3625054,5.4288827,2
51.3627589,5.4612035,1
51.3628773,5.4423224,2
51.3631254,6.1595082,1
51.3633216,5.379605,2
51.3637519,6.135137,2
51.3640552,5.7368512,1
51.3645103,5.2233371,2
51.364594,5.1749471,5
51.3647523,5.4295596,3
51.3648331,5.4299904,1
51.3648673,6.1652097,1
51.3651976,6.1881047,1
51.3653668,6.1285867,2
51.3656911,5.2542483,3
51.3668126,6.1274039,2
51.3668927,6.1345709,1
51.3677955,3.4814766,2
51.3680858,5.1627392,1
51.3681258,6.1871221,1
51.3686259,6.1320287,2
51.3687171,5.1685664,5
51.3688752,6.1707639,1
51.3693472,5.2521985,1
51.3697472,4.0091943,1
51.369825,6.1495401,2
51.3700921,6.1499323,4
51.3702658,5.3015679,2
51.3708509,4.0197032,1
51.3710073,5.2098432,4
51.3720214,5.2147364,1
51.3742455,6.1755239,1
51.3755629,6.1918917,1
51.3767521,6.173068,1
51.3771267,5.9348022,1
51.3771495,6.1833878,1
51.3776955,5.2162231,1
51.3786079,6.1751252,2
51.3804051,5.7186624,1
51.3805836,6.1793825,2
51.3808507,5.703885,2
51.3816185,6.1712413,1
51.3818259,5.7247058,1
51.3819315,5.6997268,1
51.3827878,6.1751256,1
51.3829648,6.1913328,1
51.3830667,5.702119,1
51.3832101,5.7601254,1
51.383543,5.6988184,1
51.3836584,5.6993507,3
51.3839112,4.3447669,2
51.3840397,5.7111327,1
51.3840403,5.7618991,1
51.385602,5.4397354,1
51.3866654,5.564418,2
51.3897688,5.4478575,1
51.3899723,3.5507054,2
51.3905864,5.7101161,2
51.3909672,4.3346917,1
51.3919873,5.5755017,1
51.3933247,4.3369363,1
51.3934027,4.3296495,1
51.3935678,4.317202,4
51.3943556,4.3178302,1
51.3949098,4.3312958,1
51.395667,4.3345114,2
51.3966791,5.4784727,1
51.3970524,5.7574366,2
51.3987236,5.4844833,1
51.3991722,5.7578993,2
51.3995474,5.7442508,1
51.4001605,5.746598,1
51.4007232,5.7506404,1
51.4027396,5.7525823,1
51.402863,5.3943288,3
51.4037319,5.911768,1
51.4048496,5.3915123,2
51.4067626,5.4070488,2
51.407168,5.7359889,1
51.4074303,5.7587282,1
51.4084077,5.4059716,3
